date,mktrf,smb,hml,rf
2020/04/13,-0.009200,-0.008400,-0.024000,0.00000
2020/04/14,0.030200,-0.001800,-0.031300,0.00000
2020/04/15,-0.021500,-0.012300,-0.025400,0.00000
2020/04/16,0.006200,-0.002100,-0.029700,0.00000
2020/04/17,0.027200,0.007400,0.027700,0.00000
2020/04/20,-0.015600,0.007700,-0.009100,0.00000
2020/04/21,-0.030800,0.009300,0.001600,0.00000
2020/04/22,0.023100,-0.007000,-0.016500,0.00000
2020/04/23,0.001300,0.011100,0.005500,0.00000
2020/04/24,0.014400,0.002700,-0.001200,0.00000
2020/04/27,0.017300,0.016100,0.027000,0.00000
2020/04/28,-0.004500,0.009800,0.028400,0.00000
2020/04/29,0.029200,0.018800,0.020000,0.00000
2020/04/30,-0.011800,-0.014200,-0.016800,0.00000
2020/05/01,-0.029100,-0.005600,-0.009700,0.00000
2020/05/04,0.005300,0.002000,-0.012900,0.00000
2020/05/05,0.009500,0.000400,-0.020100,0.00000
2020/05/06,-0.005200,0.005400,-0.027000,0.00000
2020/05/07,0.013300,-0.000600,0.003900,0.00000
2020/05/08,0.019000,0.013900,0.024500,0.00000
2020/05/11,0.000700,0.004700,-0.037800,0.00000
2020/05/12,-0.020600,-0.008400,-0.013500,0.00000
2020/05/13,-0.018900,-0.009000,-0.020900,0.00000
2020/05/14,0.011400,-0.015100,0.009200,0.00000
2020/05/15,0.005700,0.016100,-0.011600,0.00000
2020/05/18,0.032400,0.015700,0.046100,0.00000
2020/05/19,-0.010100,-0.005400,-0.014900,0.00000
2020/05/20,0.018000,0.010900,0.013100,0.00000
2020/05/21,-0.007000,0.006300,0.004100,0.00000
2020/05/22,0.002700,0.004700,-0.008600,0.00000
2020/05/26,0.012300,0.001000,0.045600,0.00000
2020/05/27,0.015400,0.006500,0.036100,0.00000
2020/05/28,-0.004100,-0.015300,-0.024300,0.00000
2020/05/29,0.006000,-0.002900,-0.019700,0.00000
2020/06/01,0.005200,-0.000400,0.004300,0.00000
2020/06/02,0.008100,-0.000900,0.005400,0.00000
2020/06/03,0.014200,0.001600,0.026300,0.00000
2020/06/04,-0.003400,-0.002300,0.028900,0.00000
2020/06/05,0.025000,0.006600,0.027600,0.00000
2020/06/08,0.013900,0.003700,0.020900,0.00000
2020/06/09,-0.008500,-0.002500,-0.019300,0.00000
2020/06/10,-0.005600,-0.008500,-0.041000,0.00000
2020/06/11,-0.059100,-0.008200,-0.030400,0.00000
2020/06/12,0.012900,0.003100,0.018300,0.00000
2020/06/15,0.010900,0.014600,-0.003900,0.00000
2020/06/16,0.018700,0.006000,0.004900,0.00000
2020/06/17,-0.004000,-0.009000,-0.019800,0.00000
2020/06/18,0.001900,0.000900,-0.005300,0.00000
2020/06/19,-0.004500,0.000900,-0.006500,0.00000
2020/06/22,0.007100,0.008400,-0.013600,0.00000
2020/06/23,0.004200,0.001600,-0.006000,0.00000
2020/06/24,-0.026100,-0.004500,-0.013600,0.00000
2020/06/25,0.011200,0.002400,0.005100,0.00000
2020/06/26,-0.024400,0.001200,-0.014000,0.00000
2020/06/29,0.015100,0.012500,0.018400,0.00000
2020/06/30,0.015800,0.000800,0.000100,0.00000
2020/07/01,0.004100,-0.012800,-0.025800,0.00001
2020/07/02,0.005000,-0.000200,-0.001300,0.00001
2020/07/06,0.016500,-0.006300,0.003400,0.00001
2020/07/07,-0.010300,-0.005000,-0.015000,0.00001
2020/07/08,0.009100,0.003000,-0.004700,0.00001
2020/07/09,-0.005300,-0.009300,-0.026000,0.00001
2020/07/10,0.011100,-0.000700,0.030700,0.00001
